market,trade_date,source_type,source_granularity,source_origin,status,archive_path,sha256
futures,2021-05-26,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/05.2021/BTCUSDT-aggTrades-2021-05-26.zip,65635aade26dfb71281cd75a95fe887fef3a07fafb31f1997d2af1c645f96ee5
futures,2021-06-08,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/06.2021/BTCUSDT-aggTrades-2021-06-08.zip,4c71c6ca0921341e0b8e9f6ec3eb04f232cf715d611a8c015d97bf4f2af6afd5
futures,2021-06-15,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/06.2021/BTCUSDT-aggTrades-2021-06-15.zip,1bf901e1cc8dd5653f14c124fe9d17ba2a99459a241b1c164a224e2e359c528b
futures,2021-06-22,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/06.2021/BTCUSDT-aggTrades-2021-06-22.zip,bf0c73e786625d03865a85628bd06b773dcf87c16a5c20b4375c4a010f3b9ef3
futures,2021-06-29,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/06.2021/BTCUSDT-aggTrades-2021-06-29.zip,35f5100e883c6c64ba51b334f9e61ab8b5b70440d9a439138f64107cb58ee36f
futures,2021-07-20,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/07.2021/BTCUSDT-aggTrades-2021-07-20.zip,5df48cced338784ffc2b60754dc7453bf2fbb86de5457c63afb31a173985331d
futures,2021-07-26,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/07.2021/BTCUSDT-aggTrades-2021-07-26.zip,b230eb10f3a963afe479aa17ab165c8df08cd0d00027f051d6667282fe09159d
futures,2021-07-27,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/07.2021/BTCUSDT-aggTrades-2021-07-27.zip,350ec906ec171bd06e9ed9a986370f5713f0440ba48b0827b1551c32788eadb6
futures,2021-09-07,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/09.2021/BTCUSDT-aggTrades-2021-09-07.zip,687b38f4a93e5e5940800ac8ac7517ad9fcd6ec097bf16cf41d04d7d166f3473
futures,2021-09-21,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/09.2021/BTCUSDT-aggTrades-2021-09-21.zip,1548e4bc828d0d9be54d5b408de9a2540fa79bc40520fd89e4919dd43b0807ba
futures,2021-11-10,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/11.2021/BTCUSDT-aggTrades-2021-11-10.zip,f6c4178113439c67826529e8cc2c496dea7f4f091dbd92bbc4f2abcb9dc8f583
futures,2022-01-24,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/01.2022/BTCUSDT-aggTrades-2022-01-24.zip,7817713f34ac0f28e25f09160bac877982deb01c0c9e599917e7b64d54cef217
futures,2022-02-10,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/02.2022/BTCUSDT-aggTrades-2022-02-10.zip,0b1d96dc665db641d1efe362ff85eabbef144e065a6d2bebf86bec5488bda2dd
futures,2022-02-24,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2022/02.2022/BTCUSDT-aggTrades-2022-02-24.zip,efb1b857a565dc91bc2a2bdd5d9a576c7d964172ee4d5d2454f1c31a853cd377
