open_datetime,close_datetime,close,regime,current_extreme
2022-12-02T00:00:00+00:00,2022-12-02T23:59:59.999000+00:00,17083.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-03T00:00:00+00:00,2022-12-03T23:59:59.999000+00:00,16879.5,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-04T00:00:00+00:00,2022-12-04T23:59:59.999000+00:00,17099.5,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-05T00:00:00+00:00,2022-12-05T23:59:59.999000+00:00,16958.3,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-06T00:00:00+00:00,2022-12-06T23:59:59.999000+00:00,17078.6,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-07T00:00:00+00:00,2022-12-07T23:59:59.999000+00:00,16828.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-08T00:00:00+00:00,2022-12-08T23:59:59.999000+00:00,17216.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-09T00:00:00+00:00,2022-12-09T23:59:59.999000+00:00,17122.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-10T00:00:00+00:00,2022-12-10T23:59:59.999000+00:00,17120.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-11T00:00:00+00:00,2022-12-11T23:59:59.999000+00:00,17077.3,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-12T00:00:00+00:00,2022-12-12T23:59:59.999000+00:00,17200.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-13T00:00:00+00:00,2022-12-13T23:59:59.999000+00:00,17777.1,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-14T00:00:00+00:00,2022-12-14T23:59:59.999000+00:00,17803.9,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-15T00:00:00+00:00,2022-12-15T23:59:59.999000+00:00,17351.8,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-16T00:00:00+00:00,2022-12-16T23:59:59.999000+00:00,16624.1,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-17T00:00:00+00:00,2022-12-17T23:59:59.999000+00:00,16768.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-18T00:00:00+00:00,2022-12-18T23:59:59.999000+00:00,16730.3,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-19T00:00:00+00:00,2022-12-19T23:59:59.999000+00:00,16429.2,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-20T00:00:00+00:00,2022-12-20T23:59:59.999000+00:00,16887.2,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-21T00:00:00+00:00,2022-12-21T23:59:59.999000+00:00,16819.6,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-22T00:00:00+00:00,2022-12-22T23:59:59.999000+00:00,16815.5,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-23T00:00:00+00:00,2022-12-23T23:59:59.999000+00:00,16776.4,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-24T00:00:00+00:00,2022-12-24T23:59:59.999000+00:00,16828.9,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-25T00:00:00+00:00,2022-12-25T23:59:59.999000+00:00,16824.4,bear,2022-11-21T00:00:00+00:00|15443.2
